VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
Temporary visas,VET,10150,8510,1640
Temporary visas,Education sector,86880,25630,61240
Temporary visas,Student other,25460,10490,14970
Temporary visas,Skilled work,31040,22230,8810
Temporary visas,Visitor,45960,11140,34820
Temporary visas,Working Holiday,51820,28260,23560
Temporary visas,Misc Temp,7210,21940,-14730
Permanent visas,Family,31770,5820,25950
Permanent visas,Skill,40560,8300,32260
Permanent visas,S/E & humanitarian,11630,150,11480
Permanent visas,Misc Perm,5330,6090,-750
