VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
Temporary visas,VET,13330,8880,4450
Temporary visas,Education sector,85420,24440,60970
Temporary visas,Student other,27240,10370,16870
Temporary visas,Skilled work,31610,20300,11310
Temporary visas,Visitor,54160,15510,38660
Temporary visas,Working Holiday,50910,28040,22870
Permanent visas,Misc Temp,89750,21530,68220
Permanent visas,Family,31890,6090,25800
Permanent visas,Skill,42610,8860,33750
Permanent visas,S/E & humanitarian,9410,140,9260
Permanent visas,Misc Perm,5840,6430,-580
