VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
Temporary visas,VET,40200,4610,35590
Temporary visas,Education sector,80470,16890,63580
Temporary visas,Student other,28580,6810,21770
Temporary visas,Skilled work,49610,11940,37670
Temporary visas,Visitor,49730,21380,28350
Temporary visas,Working Holiday,32460,9340,23110
Temporary visas,Misc Temp,6660,12910,-6250
Permanent visas,Family,34830,4790,30050
Permanent visas,Skill,53700,7210,46490
Permanent visas,S/E & humanitarian,9980,100,9880
Permanent visas,Misc Perm,4130,4650,-510
