VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
Temporary visas,VET,10680,10460,230
Temporary visas,Education sector,41840,30880,10960
Temporary visas,Student other,20880,7970,12900
Temporary visas,Skilled work,41710,12390,29320
Temporary visas,Visitor,41640,15460,26180
Temporary visas,Working Holiday,50390,14890,35500
Temporary visas,Misc Temp,6680,19990,-13300
Permanent visas,Family,34150,5840,28300
Permanent visas,Skill,35980,7810,28170
Permanent visas,S/E & humanitarian,9280,130,9150
Permanent visas,Misc Perm,4170,5280,-1110
