VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
Temporary visas,VET,18740,19270,-530
Temporary visas,Education sector,101910,66790,35110
Temporary visas,Student other,30010,12750,17260
Temporary visas,Skilled work,31900,16190,15710
Temporary visas,Visitor,132390,32110,100280
Temporary visas,Working Holiday,52050,26850,25200
Temporary visas,Misc Temp,18860,38150,-19280
Permanent visas,Family,24940,7020,17910
Permanent visas,Skill,37050,9130,27920
Permanent visas,S/E & humanitarian,18160,150,18020
Permanent visas,Misc Perm,11090,10710,380
