VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
Temporary visas,VET,48750,7490,41260
Temporary visas,Education sector,62990,21800,41190
Temporary visas,Student other,26820,7180,19640
Temporary visas,Skilled work,30770,14920,15850
Temporary visas,Visitor,40140,20120,20020
Temporary visas,Working Holiday,33100,12440,20660
Temporary visas,Misc Temp,5360,15780,-10420
Permanent visas,Family,35980,5100,30880
Permanent visas,Skill,43230,8440,34790
Permanent visas,S/E & humanitarian,12060,100,11950
Permanent visas,Misc Perm,3940,4740,-800
