VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
Temporary visas,VET,9100,7840,1260
Temporary visas,Education sector,66580,26870,39700
Temporary visas,Student other,24000,9110,14890
Temporary visas,Skilled work,37350,20690,16660
Temporary visas,Visitor,48160,16520,31640
Temporary visas,Working Holiday,58800,23700,35100
Temporary visas,Misc Temp,7400,21360,-13960
Permanent visas,Family,37210,5680,31530
Permanent visas,Skill,38510,7610,30900
Permanent visas,S/E & humanitarian,13260,150,13110
Permanent visas,Misc Perm,5320,5710,-380
