VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
Temporary visas,VET,9280,8160,1110
Temporary visas,Education sector,48130,29490,18640
Temporary visas,Student other,21200,8210,12990
Temporary visas,Skilled work,48400,15880,32520
Temporary visas,Visitor,43990,11610,32380
Temporary visas,Working Holiday,57450,18600,38840
Temporary visas,Misc Temp,7160,18800,-11630
Permanent visas,Family,34030,5460,28580
Permanent visas,Skill,40430,7630,32800
Permanent visas,S/E & humanitarian,6100,150,5950
Permanent visas,Misc Perm,4540,5350,-810
