VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
Temporary visas,VET,8570,3210,5360
Temporary visas,Education sector,29860,7850,22010
Temporary visas,Student other,40200,9970,30230
Temporary visas,Skilled work,16660,7130,9530
Temporary visas,Visitor,38870,19430,19440
Temporary visas,Working Holiday,12150,3230,8920
Temporary visas,Misc Temp,8680,13220,-4530
Permanent visas,Family,28930,4350,24580
Permanent visas,Skill,34680,7180,27500
Permanent visas,S/E & humanitarian,11690,250,11440
Permanent visas,Misc Perm,3850,6030,-2180
