VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
Temporary visas,VET,24130,16240,7890
Temporary visas,Education sector,112140,34380,77760
Temporary visas,Student other,30380,9320,21070
Temporary visas,Skilled work,29390,15230,14160
Temporary visas,Visitor,78280,14490,63780
Temporary visas,Working Holiday,50390,23500,26890
Temporary visas,Misc Temp,13220,31500,-18280
Permanent visas,Family,25170,5560,19610
Permanent visas,Skill,40910,7350,33570
Permanent visas,S/E & humanitarian,12690,160,12520
Permanent visas,Misc Perm,6320,7370,-1040
