VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
Temporary visas,VET,15870,10090,5780
Temporary visas,Education sector,93620,24760,68860
Temporary visas,Student other,28380,10540,17840
Temporary visas,Skilled work,31170,17020,14160
Temporary visas,Visitor,68040,15370,52670
Temporary visas,Working Holiday,49600,27490,22110
Temporary visas,Misc Temp,9090,22200,-13110
Permanent visas,Family,31260,5590,25670
Permanent visas,Skill,43680,8070,35610
Permanent visas,S/E & humanitarian,22620,140,22480
Permanent visas,Misc Perm,6180,6660,-480
