VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
Temporary visas,VET,16260,13440,2820
Temporary visas,Education sector,102960,29090,73860
Temporary visas,Student other,32730,9210,23520
Temporary visas,Skilled work,30260,15350,14910
Temporary visas,Visitor,77230,22870,54360
Temporary visas,Working Holiday,50590,23280,27310
Temporary visas,Misc Temp,11080,26770,-15680
Permanent visas,Family,28050,5610,22440
Permanent visas,Skill,45210,8070,37150
Permanent visas,S/E & humanitarian,14940,140,14800
Permanent visas,Misc Perm,6280,6860,-570
